run_name,vectorizer,model,cv_val_f1_mean,cv_val_f1_std,cv_gap_f1,train_f1,test_f1,test_accuracy,test_roc_auc,holdout_gap_f1,overfitting_risk
hashing__random_forest,hashing,random_forest,0.9921207641656361,0.0011057615901359436,0.007879235834363896,1.0,0.9943784235496935,0.9943227899432279,0.9997393731503901,0.005621576450306476,False
tfidf_sublinear__sgd_log_loss,tfidf_sublinear,sgd_log_loss,0.9914889241866248,0.0011593067245974286,0.002954695411343522,0.9940905363735695,0.9933416539124146,0.9932414165990808,0.99964512269374,0.0007488824611548983,False
tfidf_unigram__logistic_regression,tfidf_unigram,logistic_regression,0.9913031351545045,0.0013516282069346633,0.003707274177913611,0.9953170285203049,0.9946564033343425,0.9945931332792647,0.9998141540291406,0.0006606251859624379,False
tfidf_bigram__sgd_log_loss,tfidf_bigram,sgd_log_loss,0.9903739159204141,0.001135157156126253,0.0032055825757643097,0.9934587046251121,0.9927998943038379,0.9927007299270073,0.9996017586338727,0.0006588103212742391,False
hashing__logistic_regression,hashing,logistic_regression,0.9892960537060009,0.0012184981541040712,0.0048130628789376795,0.9944993634293348,0.9873795144144857,0.9870235198702352,0.9996247681350269,0.007119849014849078,False
tfidf_unigram__sgd_log_loss,tfidf_unigram,sgd_log_loss,0.9889615605603712,0.0010007024978924883,0.0036887733459955996,0.9922322038343205,0.992547343696247,0.9924303865909705,0.9995415799385469,-0.00031513986192643895,False
tfidf_unigram__multinomial_nb,tfidf_unigram,multinomial_nb,0.9859873472776781,0.0008521742250893134,0.0029644889502681293,0.988589384053757,0.9946495574836667,0.9945931332792647,0.999080504934653,-0.006060173429909721,False
tfidf_unigram__complement_nb,tfidf_unigram,complement_nb,0.98557840013875,0.0009069562388414799,0.0030017007037320687,0.9882176415548359,0.9946495574836667,0.9945931332792647,0.999080504934653,-0.006431915928830745,False
hashing__sgd_log_loss,hashing,sgd_log_loss,0.984538583335682,0.0017486652177830541,0.005277771976694878,0.9890729925865973,0.9825776370260508,0.9818869964855367,0.9988858091556575,0.0064953555605464786,False
bow_unigram__multinomial_nb,bow_unigram,multinomial_nb,0.9821933841850873,0.0019226839972169547,0.003411906781189855,0.9853914428484537,0.9954254591461293,0.995404163287375,0.9986411119606927,-0.01003401629767564,False
tfidf_bigram__multinomial_nb,tfidf_bigram,multinomial_nb,0.9820818939516848,0.001893631324045996,0.0020360449942821157,0.9839412992804905,0.9948600308857096,0.9948634766153014,0.9988017359783641,-0.010918731605219167,False
bow_unigram__complement_nb,bow_unigram,complement_nb,0.9818214660140173,0.0018454373580568608,0.003411975441836246,0.9850195864181924,0.9954254591461293,0.995404163287375,0.9986411119606927,-0.010405872727936916,False
hashing__multinomial_nb,hashing,multinomial_nb,0.9817475202804558,0.0013159497902739048,0.0054195240611331075,0.9864326730846645,0.9948872778692033,0.9948634766153014,0.9984300440366453,-0.008454604784538744,False
hashing__complement_nb,hashing,complement_nb,0.9816359299819352,0.0014460577779702754,0.005512520853319103,0.9864326730846645,0.9948872778692033,0.9948634766153014,0.9984300440366453,-0.008454604784538744,False
tfidf_bigram__complement_nb,tfidf_bigram,complement_nb,0.9815239569653407,0.0019511298189258135,0.0021012257199635176,0.9833834551648892,0.9948600308857096,0.9948634766153014,0.9988017359783641,-0.011476575720820392,False
bow_bigram__multinomial_nb,bow_bigram,multinomial_nb,0.973745224897443,0.0011171121014310309,0.0020475119603341474,0.9755693162396751,0.9945711875009141,0.9945931332792647,0.9986729712699829,-0.01900187126123898,False
bow_bigram__complement_nb,bow_bigram,complement_nb,0.9732239073085424,0.0012097535715212325,0.002075580621219042,0.9750109035046699,0.9945711875009141,0.9945931332792647,0.9986729712699829,-0.01956028399624421,False
