run_name,vectorizer,model,accuracy,precision,recall,f1_weighted,f1_macro,roc_auc
tfidf_unigram__multinomial_nb,tfidf_unigram,multinomial_nb,0.9945931332792647,0.9948117385827157,0.9945931332792647,0.9946495574836667,0.9839748033133469,0.9990911247044164
bow_bigram__multinomial_nb,bow_bigram,multinomial_nb,0.9945931332792647,0.9945649850076861,0.9945931332792647,0.9945711875009141,0.9834995423230717,0.9986782811548646
bow_bigram__complement_nb,bow_bigram,complement_nb,0.9945931332792647,0.9945649850076861,0.9945931332792647,0.9945711875009141,0.9834995423230717,0.9986782811548646
tfidf_sublinear__logistic_regression,tfidf_sublinear,logistic_regression,0.9940524466071912,0.9943697736227587,0.9940524466071912,0.9941295249075837,0.9824637241431623,0.9998787576285347
tfidf_sublinear__sgd_log_loss,tfidf_sublinear,sgd_log_loss,0.9935117599351176,0.993892085149066,0.9935117599351176,0.9936039534964242,0.9809189575839277,0.9996513175594353
hashing__random_forest,hashing,random_forest,0.9935117599351176,0.9937960673458804,0.9935117599351176,0.993587684001211,0.9808197868865209,0.9997517628817807
bow_bigram__linear_svc,bow_bigram,linear_svc,0.9927007299270073,0.9931854729661911,0.9927007299270073,0.9928180190485003,0.9786166522181212,0.9998008793169365
tfidf_unigram__sgd_log_loss,tfidf_unigram,sgd_log_loss,0.9927007299270073,0.9931300078005142,0.9927007299270073,0.9928089862254076,0.9785615159968102,0.9995468898234287
tfidf_bigram__sgd_log_loss,tfidf_bigram,sgd_log_loss,0.9927007299270073,0.9930772948684643,0.9927007299270073,0.9927998943038379,0.9785060577006885,0.9996008736530592
bow_bigram__sgd_log_loss,bow_bigram,sgd_log_loss,0.9924303865909705,0.9929525371965151,0.9924303865909705,0.9925566806199346,0.9778531411709361,0.9999318564773516
bow_bigram__logistic_regression,bow_bigram,logistic_regression,0.9924303865909705,0.9929525371965151,0.9924303865909705,0.9925566806199346,0.9778531411709361,0.9999132718802656
bow_unigram__sgd_log_loss,bow_unigram,sgd_log_loss,0.9924303865909705,0.9929525371965151,0.9924303865909705,0.9925566806199346,0.9778531411709361,0.9998946872831797
bow_unigram__logistic_regression,bow_unigram,logistic_regression,0.9921600432549338,0.9927208843208757,0.9921600432549338,0.9922956594426787,0.977091577949947,0.9999194667459609
bow_unigram__linear_svc,bow_unigram,linear_svc,0.9910786699107867,0.991806892012359,0.9910786699107867,0.9912547163336953,0.9740646349741904,0.999850438242499
hashing__logistic_regression,hashing,logistic_regression,0.9870235198702352,0.9884562859635657,0.9870235198702352,0.9873795144144857,0.9628887079270749,0.9996247681350269
hashing__sgd_log_loss,hashing,sgd_log_loss,0.9837793998377939,0.9860102316117978,0.9837793998377939,0.984335176600358,0.954293457666771,0.9989530676974924
